country_name,year,mental_health_value,indicator_code
LTU,2012,52.2545437,MH_12
JOR,2010,1.67023763,MH_12
SSD,2020,5.91657156,MH_12
SYR,2001,1.809798987,MH_12
ZWE,2021,25.42332703,MH_12
TUN,2011,1.596429196,MH_12
BRB,2007,0.97042521,MH_12
TKM,2001,4.459120707,MH_12
CHL,2010,4.268587753,MH_12
TCD,2019,10.97904735,MH_12
EMR,2008,6.914089453,MH_12
AGO,2017,20.4100244,MH_12
UGA,2000,24.81304942,MH_12
BHS,2005,5.492101872,MH_12
MRT,2019,3.069856067,MH_12
IRQ,2019,1.99281131,MH_12
AUS,2016,16.92721912,MH_12
BRA,2017,10.41299143,MH_12
NPL,2007,15.70351968,MH_12
AGO,2000,29.907425,MH_12
PAN,2019,0.423549575,MH_12
VEN,2006,6.30590568,MH_12
IRQ,2001,2.977762484,MH_12
GUY,2003,15.28546732,MH_12
SLV,2011,16.24694469,MH_12
SVK,2018,2.731708192,MH_12
QAT,2015,1.377553249,MH_12
GTM,2016,9.448388966,MH_12
MEX,2012,8.285736963,MH_12
VNM,2020,6.689190286,MH_12
CPV,2018,4.788300428,MH_12
WB_LMI,2014,11.18409609,MH_12
COG,2006,14.22268971,MH_12
GIN,2010,12.29822181,MH_12
SLB,2018,34.49969903,MH_12
EST,2009,17.86630151,MH_12
VCT,2010,5.381204922,MH_12
NIC,2009,6.154604906,MH_12
VEN,2015,1.691458877,MH_12
CIV,2007,3.39596362,MH_12
BEN,2019,19.70013644,MH_12
AFG,2013,5.681976396,MH_12
ERI,2013,21.51597926,MH_12
KAZ,2012,8.748790101,MH_12
CUB,2020,16.88869845,MH_12
CZE,2005,4.328979409,MH_12
GAB,2000,23.94320369,MH_12
THA,2004,4.418161684,MH_12
WB_LI,2010,10.50574082,MH_12
ITA,2005,7.661117297,MH_12
CZE,2008,11.39600241,MH_12
IND,2020,13.18385568,MH_12
SLV,2020,7.618369713,MH_12
SSD,2004,9.933928882,MH_12
URY,2015,27.80876182,MH_12
DOM,2016,1.994241654,MH_12
TON,2000,4.445178356,MH_12
EGY,2008,0.504992589,MH_12
ROU,2021,2.250637292,MH_12
CPV,2014,30.2329906,MH_12
NIC,2020,1.763804049,MH_12
ERI,2018,20.51227715,MH_12
USA,2021,14.21562781,MH_12
DZA,2017,1.495801852,MH_12
ALB,2017,4.362738064,MH_12
CMR,2020,5.657759832,MH_12
BRA,2015,2.627382875,MH_12
BLR,2005,34.89486824,MH_12
PSE,2003,0.937246497,MH_12
GAB,2013,22.45875811,MH_12
PRI,2021,1.46081217,MH_12
DOM,2002,4.742054637,MH_12
TJK,2000,2.810162358,MH_12
BOL,2011,4.687438219,MH_12
CZE,2013,4.533814957,MH_12
CHL,2017,9.092855404,MH_12
KOR,2009,20.41413833,MH_12
GEO,2006,1.536601198,MH_12
TKM,2000,20.03376463,MH_12
SUR,2006,38.62074333,MH_12
CUB,2021,16.18851426,MH_12
AUT,2005,21.20732381,MH_12
LBR,2003,5.770355392,MH_12
WB_UMI,2010,8.415932082,MH_12
SRB,2001,17.26893682,MH_12
GUY,2004,14.34909298,MH_12
LBR,2010,13.20267818,MH_12
HND,2012,6.221777099,MH_12
IRL,2019,11.17945807,MH_12
LUX,2019,12.39020759,MH_12
PAN,2021,0.979497977,MH_12
COM,2009,12.27733656,MH_12
LVA,2011,34.15949204,MH_12
WB_LMI,2017,7.946590444,MH_12
SWE,2021,16.22212849,MH_12
FJI,2018,9.875232405,MH_12
IND,2014,18.39450212,MH_12
CAN,2010,16.42157134,MH_12
ECU,2006,4.911562435,MH_12
MDG,2017,9.980907815,MH_12
UGA,2020,19.17422973,MH_12
LKA,2005,9.650364231,MH_12
NZL,2002,18.62101741,MH_12
TUN,2021,1.188744177,MH_12
OMN,2010,0.418894759,MH_12
ZAF,2016,31.68513527,MH_12
SLB,2015,23.61348518,MH_12
ZMB,2014,11.13279343,MH_12
ARG,2004,8.666014526,MH_12
JPN,2001,26.04368193,MH_12
GAB,2000,13.66146542,MH_12
GRC,2011,1.307912684,MH_12
IRQ,2020,1.581927572,MH_12
ESP,2007,5.448529455,MH_12
CYP,2012,9.432686865,MH_12
SRB,2020,9.678185808,MH_12
MMR,2021,1.008591849,MH_12
WB_UMI,2005,11.19726856,MH_12
NOR,2004,7.017261469,MH_12
ZMB,2018,10.59139266,MH_12
SWZ,2010,35.48836497,MH_12
ISR,2008,8.796788687,MH_12
IDN,2020,1.999416079,MH_12
LBR,2018,12.86463093,MH_12
KIR,2005,6.22586547,MH_12
BDI,2002,11.21776484,MH_12
AMR,2001,3.335339091,MH_12
EMR,2020,2.267273622,MH_12
SLV,2019,3.180862417,MH_12
UGA,2009,21.04788919,MH_12
CMR,2014,23.90266843,MH_12
CAN,2001,17.6078425,MH_12
SVK,2006,3.104689123,MH_12
BIH,2002,9.464985195,MH_12
NER,2004,7.843672416,MH_12
BLZ,2021,1.618277938,MH_12
KEN,2009,17.3909166,MH_12
BRB,2003,8.278836706,MH_12
BRA,2001,2.117169393,MH_12
TGO,2019,25.73163757,MH_12
IRQ,2016,6.544670982,MH_12
PRY,2018,3.970738652,MH_12
MLI,2005,7.708228102,MH_12
PNG,2021,2.144471239,MH_12
TTO,2019,4.108124582,MH_12
KIR,2002,20.92814057,MH_12
MNG,2013,34.67823424,MH_12
SWZ,2012,39.24043831,MH_12
ECU,2020,12.13902792,MH_12
IRQ,2003,8.18026259,MH_12
WB_HI,2021,18.0647856,MH_12
HTI,2015,14.10218481,MH_12
DEU,2001,5.236000891,MH_12
WB_HI,2019,18.51634514,MH_12
QAT,2008,1.977308395,MH_12
PRY,2011,7.899694719,MH_12
ZAF,2007,17.37122042,MH_12
GTM,2012,5.31946532,MH_12
LBR,2018,6.497124459,MH_12
SUR,2019,41.98169413,MH_12
TKM,2018,7.563579449,MH_12
UZB,2000,17.73965352,MH_12
VNM,2009,4.512105654,MH_12
TUR,2008,1.210715983,MH_12
AFR,2000,11.84661677,MH_12
TJK,2021,4.542455218,MH_12
SDN,2011,6.164402602,MH_12
TUN,2001,2.211152526,MH_12
AFG,2019,3.847630705,MH_12
SLE,2013,6.748457928,MH_12
ALB,2018,4.197714216,MH_12
